	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_7110	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	terrae
ASV_7111	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_7112	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Sporomusa	NA
ASV_7113	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7114	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium	NA
ASV_7115	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_7116	Archaea	Thermoplasmatota	Thermoplasmata	Marine Benthic Group D and DHVEG-1	NA	NA	NA
ASV_7117	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7118	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7119	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 12	NA
ASV_7120	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	NA	NA	NA
ASV_7121	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA	NA
ASV_7122	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_7123	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA	NA
ASV_7124	Archaea	Euryarchaeota	Thermococci	Methanofastidiosales	NA	NA	NA
ASV_7125	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	NA	NA	NA
ASV_7126	Bacteria	Sva0485	NA	NA	NA	NA	NA
ASV_7127	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA
ASV_7128	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	NA
ASV_7129	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA	NA
ASV_7130	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7131	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_7132	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA
ASV_7133	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix	NA
ASV_7134	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	NA	NA	NA
ASV_7135	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_7136	Bacteria	Sva0485	NA	NA	NA	NA	NA
ASV_7137	Bacteria	Armatimonadota	NA	NA	NA	NA	NA
ASV_7138	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7139	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	NA	NA	NA
ASV_7140	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7141	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_7142	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	NA	NA	NA
ASV_7143	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA
ASV_7144	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_7145	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanosaetaceae	Methanosaeta	NA
ASV_7146	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Paracaedibacter	symbiosus
ASV_7147	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7148	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	NA
ASV_7149	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV_7150	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_7151	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA	NA
ASV_7152	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA
ASV_7153	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7154	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA
ASV_7155	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7156	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7157	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA
ASV_7158	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7159	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA
ASV_7160	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peribacteria	NA	NA	NA
ASV_7161	Bacteria	NKB15	NA	NA	NA	NA	NA
ASV_7162	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	RBG-16-58-14	NA
ASV_7163	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
ASV_7164	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_7165	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_7166	Bacteria	Acidobacteriota	Subgroup 18	NA	NA	NA	NA
ASV_7167	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA
ASV_7168	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7169	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7170	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV_7171	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_7172	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV_7173	Bacteria	Verrucomicrobiota	Verrucomicrobiae	LD1-PB3	NA	NA	NA
ASV_7174	Bacteria	PAUC34f	NA	NA	NA	NA	NA
ASV_7175	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7176	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_7177	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7178	Bacteria	Patescibacteria	CPR2	NA	NA	NA	NA
ASV_7179	Bacteria	Myxococcota	Polyangia	MidBa8	NA	NA	NA
ASV_7180	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_7181	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	NA	NA
ASV_7182	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_7183	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57 soil group	NA	NA	NA
ASV_7184	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_7185	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7186	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_7187	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Amnibacterium	NA
ASV_7188	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA
ASV_7189	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	pLW-20	NA
ASV_7190	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA	NA
ASV_7191	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
ASV_7192	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA	NA
ASV_7193	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA	NA
ASV_7194	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_7195	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	NA
ASV_7196	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA	NA
ASV_7197	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	NA	NA	NA
ASV_7198	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	NA	NA
ASV_7199	Bacteria	Bacteroidota	NA	NA	NA	NA	NA
ASV_7200	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
ASV_7201	Bacteria	Deferrisomatota	Defferrisomatia	Defferrisomatales	Defferrisomataceae	Deferrisoma	NA
ASV_7202	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_7203	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV_7204	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_7205	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7206	Bacteria	Planctomycetota	Pla4 lineage	NA	NA	NA	NA
ASV_7207	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Bealeia	NA
ASV_7208	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	NA	NA	NA
ASV_7209	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7210	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_7211	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA
ASV_7212	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7213	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_7214	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
ASV_7215	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA
ASV_7216	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 17	NA	NA	NA
ASV_7217	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7218	Bacteria	Patescibacteria	Parcubacteria	Candidatus Zambryskibacteria	NA	NA	NA
ASV_7219	Bacteria	Chloroflexi	Anaerolineae	SJA-15	NA	NA	NA
ASV_7220	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	NA
ASV_7221	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	NA
ASV_7222	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV_7223	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA
ASV_7224	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	amylolyticus
ASV_7225	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	NA	NA	NA
ASV_7226	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_7227	Bacteria	Patescibacteria	Parcubacteria	Candidatus Yanofskybacteria	NA	NA	NA
ASV_7228	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
ASV_7229	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA
ASV_7230	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV_7231	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_7232	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	NA	NA
ASV_7233	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_7234	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_7235	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7236	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	NA
ASV_7237	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	NA	NA	NA
ASV_7238	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	NA
ASV_7239	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7240	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA
ASV_7241	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_7242	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_7243	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_7244	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	NA	NA
ASV_7245	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_7246	Bacteria	Patescibacteria	CPR2	NA	NA	NA	NA
ASV_7247	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA
ASV_7248	NA	NA	NA	NA	NA	NA	NA
ASV_7249	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7250	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_7251	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	NA	NA	NA
ASV_7252	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA
ASV_7253	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV_7254	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	NA	NA
ASV_7255	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	NA	NA
ASV_7256	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	NA	NA
ASV_7257	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7258	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA	NA
ASV_7259	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7260	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_7261	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_7262	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_7263	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7264	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	NA
ASV_7265	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
ASV_7266	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	NA	NA	NA
ASV_7267	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_7268	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria	NA	NA	NA
ASV_7269	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7270	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA
ASV_7271	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7272	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_7273	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7274	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_7275	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV_7276	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA
ASV_7277	NA	NA	NA	NA	NA	NA	NA
ASV_7278	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_7279	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_7280	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7281	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woykebacteria	NA	NA	NA
ASV_7282	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7283	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA
ASV_7284	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
ASV_7285	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7286	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA
ASV_7287	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011	AR15	NA
ASV_7288	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA
ASV_7289	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_7290	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7291	Bacteria	Patescibacteria	CPR2	NA	NA	NA	NA
ASV_7292	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC AAA011-D5	NA	NA
ASV_7293	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7294	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	NA	NA	NA
ASV_7295	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	NA
ASV_7296	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA	NA
ASV_7297	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_7298	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA	NA
ASV_7299	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA
ASV_7300	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	NA	NA
ASV_7301	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_7302	Bacteria	Patescibacteria	Microgenomatia	Candidatus Amesbacteria	NA	NA	NA
ASV_7303	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_7304	Bacteria	Patescibacteria	CPR2	NA	NA	NA	NA
ASV_7305	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7306	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7307	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	NA
ASV_7308	Bacteria	Patescibacteria	ABY1	NA	NA	NA	NA
ASV_7309	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7310	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7311	Bacteria	Nitrospinota	P9X2b3D02	NA	NA	NA	NA
ASV_7312	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_7313	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_7314	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_7315	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
ASV_7316	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV_7317	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	NA	NA	NA
ASV_7318	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA	NA
ASV_7319	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA
ASV_7320	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV_7321	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7322	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA
ASV_7323	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7324	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV_7325	Bacteria	Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	possible genus 03	NA
ASV_7326	Bacteria	Patescibacteria	Parcubacteria	Candidatus Zambryskibacteria	NA	NA	NA
ASV_7327	Bacteria	Myxococcota	NA	NA	NA	NA	NA
ASV_7328	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_7329	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Phreatobacter	NA
ASV_7330	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
ASV_7331	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV_7332	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA
ASV_7333	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7334	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Haliscomenobacter	NA
ASV_7335	Bacteria	Patescibacteria	Parcubacteria	Candidatus Vogelbacteria	NA	NA	NA
ASV_7336	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	NA
ASV_7337	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_7338	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	B122	NA	NA
ASV_7339	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulforhabdus	NA
ASV_7340	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7341	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-44-16	NA	NA
ASV_7342	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA
ASV_7343	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
ASV_7344	Bacteria	Patescibacteria	Microgenomatia	Candidatus Amesbacteria	NA	NA	NA
ASV_7345	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV_7346	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7347	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_7348	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	NA	NA
ASV_7349	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA
ASV_7350	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	NA	NA
ASV_7351	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_7352	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_7353	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA
ASV_7354	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_7355	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	NA
ASV_7356	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	NA	NA
ASV_7357	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	NA	NA	NA
ASV_7358	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta 2	aurantia
ASV_7359	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	NA
ASV_7360	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7361	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
ASV_7362	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
ASV_7363	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7364	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_7365	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	NA
ASV_7366	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	NA
ASV_7367	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_7368	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_7369	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV_7370	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_7371	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7372	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7373	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7374	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7375	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_7376	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_7377	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA
ASV_7378	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_7379	Bacteria	Myxococcota	Polyangia	Blfdi19	NA	NA	NA
ASV_7380	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria	NA
ASV_7381	Bacteria	Nitrospinota	P9X2b3D02	NA	NA	NA	NA
ASV_7382	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 13	NA
ASV_7383	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_7384	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	MSBL3	NA
ASV_7385	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA
ASV_7386	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	NA	NA
ASV_7387	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	pLW-20	NA
