	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_11333	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV_11334	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	NA
ASV_11335	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_11336	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	NA	NA
ASV_11337	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11338	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_11339	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_11340	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	NA	NA	NA
ASV_11341	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_11342	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA
ASV_11343	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	NA	NA
ASV_11344	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	NA	NA	NA
ASV_11345	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_11346	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella	parva
ASV_11347	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA
ASV_11348	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA
ASV_11349	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_11350	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11351	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11352	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_11353	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA
ASV_11354	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV_11355	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11356	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11357	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11358	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11359	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA
ASV_11360	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_11361	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA
ASV_11362	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	NA
ASV_11363	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11364	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV_11365	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11366	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11367	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA
ASV_11368	Bacteria	Patescibacteria	ABY1	Candidatus Kuenenbacteria	NA	NA	NA
ASV_11369	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
ASV_11370	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	HN-HF0106	NA
ASV_11371	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV_11372	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	NA	NA	NA
ASV_11373	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	NA
ASV_11374	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_11375	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_11376	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV_11377	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Novispirillum	itersonii
ASV_11378	Bacteria	WS2	NA	NA	NA	NA	NA
ASV_11379	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	NA
ASV_11380	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV_11381	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV_11382	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Idiomarinaceae	Idiomarina	baltica
ASV_11383	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA	NA
ASV_11384	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	NA	NA
ASV_11385	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	NA
ASV_11386	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
ASV_11387	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA
ASV_11388	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV_11389	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11390	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_11391	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11392	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria	NA	NA	NA
ASV_11393	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	NA	NA
ASV_11394	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_11395	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA
ASV_11396	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
ASV_11397	Bacteria	Elusimicrobiota	Rs-M47	NA	NA	NA	NA
ASV_11398	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	NA
ASV_11399	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV_11400	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_11401	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_11402	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Candidatus Raymondbacteria	NA	NA
